Altium Designer Pick and Place Locations
C:\Users\Inge\Documents\GitHub\neuron\Nevorn_v4\Project Outputs for Nevron_v4\Pick Place for PCB4.csv

========================================================================================================================
File Design Information:

Date:       24/05/20
Time:       10:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R19","0402 Connected Pad","BottomLayer","0402_connected_pad","5.7953","17.7884","360","","5.7953","17.7884","5.2453","17.7884"
"H5","Magnetci con. 2 pin","TopLayer","MAGNETIC_CON._2_PIN","19.5972","17.1384","270","","19.5972","18.5634","19.5972","18.5634"
"U1","TPS3700DSER","BottomLayer","TPS3700DSER","11.9159","10.7134","90","IC COMPARATOR WINDOW","11.9159","10.7134","12.4159","10.0134"
"R17","0402 Connected Pad","BottomLayer","0402_CONNECTED_PAD","10.3267","7.8384","270","","10.3267","7.8384","10.3267","8.3884"
"R16","187K 0402","BottomLayer","0402_RES","12.3260","7.8312","270","","12.3260","7.8312","12.3260","8.3312"
"R15","2M 0402","BottomLayer","0402_RES","11.3611","7.8312","90","RES SMD 2M OHM 1% 1/16W 0402","11.3611","7.8312","11.3611","7.3312"
"R12","274K 0402","BottomLayer","0402_RES","11.3909","12.8134","180","","11.3909","12.8134","11.8909","12.8134"
"R11","2M 0402","BottomLayer","0402_RES","11.3909","14.0384","180","RES SMD 2M OHM 1% 1/16W 0402","11.3909","14.0384","11.8909","14.0384"
"R10","50k 0402","TopLayer","0402_RES","12.2017","10.3595","90","","12.2017","10.3595","12.2017","9.8595"
"R9","0402 Connected Pad","BottomLayer","0402_CONNECTED_PAD","13.7551","13.2134","270","","13.7551","13.2134","13.7551","13.7634"
"C3","100nF 0402 Cap","BottomLayer","0402_CAP","13.2508","7.8384","270","","13.2508","7.8384","13.2508","8.3384"
"H6","Magnetci con. 2 pin","TopLayer","MAGNETIC_CON._2_PIN","10.0075","1.0960","0","","8.5825","1.0960","8.5825","1.0960"
"H4","Magnetci con. 2 pin","TopLayer","MAGNETIC_CON._2_PIN","16.8766","24.0215","315","","15.8689","25.0291","15.8689","25.0291"
"H3","Magnetci con. 2 pin","TopLayer","MAGNETIC_CON._2_PIN","10.0766","27.0420","360","","8.6516","27.0420","8.6516","27.0420"
"H2","Magnetci con. 2 pin","TopLayer","MAGNETIC_CON._2_PIN","3.2092","24.0215","45","","2.2015","23.0139","2.2015","23.0139"
"H1","Magnetci con. 2 pin","TopLayer","MAGNETIC_CON._2_PIN","0.5260","17.1817","90","","0.5260","15.7567","0.5260","15.7567"
"U3","TPS62240DRVTG4","TopLayer","TPS62240DRVR","15.5517","9.2634","180","Conv DC-DC 2V to 6V Synchronous Step Down Single-Out 0.6V to 6V 0.3A 6-Pin WSON EP T/R","15.5517","9.2634","16.5931","8.6030"
"R14","180k 0402","TopLayer","0402_RES","14.4517","11.7634","270","","14.4517","11.7634","14.4517","12.2634"
"R13","820k 0402","TopLayer","0402_RES","16.0517","12.1634","180","","16.0517","12.1634","16.5517","12.1634"
"L3","2.2uH 0604","TopLayer","0603_INDUCTOR","17.7408","10.0320","90","","17.7408","10.0320","17.7409","9.2134"
"C7","4.7uF 0402","TopLayer","0402_CAP","13.4679","8.7634","270","","13.4679","8.7634","13.4679","9.2634"
"C5","10uF 0402 Cap","TopLayer","0402_CAP","16.0517","11.0634","180","","16.0517","11.0634","16.5517","11.0634"
"C4","33pF 0402","TopLayer","0402_CAP","16.0517","13.2634","180","","16.0517","13.2634","16.5517","13.2634"
"D1","BAT60BE6327HTSA1","BottomLayer","BAT60BE6327HTSA1","6.9962","19.9973","315","Diode Schottky 10V 3A Automotive 2-Pin SOD-323 T/R","6.9962","19.9973","6.1124","20.8812"
"R18","10K 0402","BottomLayer","0402_RES","5.2267","9.0634","90","","5.2267","9.0634","5.2267","8.5634"
"T1","NTLUD3A50PZTAG","BottomLayer","NTLUD3A50PZTAG","3.5301","19.8534","90","","3.5301","19.8534","4.1801","18.9184"
"U5","1.27mm 3pin header","TopLayer","1.27MM_3PIN_HEADER","3.6089","4.1777","307","","2.8446","5.1919","2.8446","5.1919"
"R5","10K 0402","TopLayer","0402_RES","17.3267","16.7634","270","","17.3267","16.7634","17.3267","17.2634"
"R4","10K 0402","TopLayer","0402_RES","15.5517","21.8884","315","","15.5517","21.8884","15.1982","22.2420"
"R3","10K 0402","TopLayer","0402_RES","10.0409","24.9526","360","","10.0409","24.9526","9.5409","24.9526"
"R2","10K 0402","TopLayer","0402_RES","5.2268","23.0139","45","","5.2268","23.0139","4.8732","22.6603"
"R1","10K 0402","TopLayer","0402_RES","2.8446","16.1948","90","","2.8446","16.1948","2.8446","15.6948"
"U2","MCP73833T-AMI/MF","BottomLayer","MCP73833T-AMI/MF","17.4576","12.2693","270","Linear Charge Management Controller Li-Ion/Li-Pol 1mA 4.2V/4.35V/4.4V/4.5V 10-Pin DFN EP T/R","17.4576","12.2693","16.4576","13.7043"
"T4","NTLUD3A50PZTAG","BottomLayer","NTLUD3A50PZTAG","9.3267","4.1777","270","","9.3267","4.1777","8.6767","5.1127"
